Headers;Contents
Art. 259a. Przekroczenie granicy RP w celu popełnienia przestępstwa o charakterze terrorystycznym;"Kto przekracza granicę Rzeczypospolitej Polskiej w celu popełnienia przestępstwa o charakterze terrorystycznym lub przestępstwa określonego w art. 255a rozpowszechnianie treści ułatwiających popełnienie przestępstwa o charakterze terrorystycznym lub art. 258 udział w zorganizowanej grupie lub związku przestępczym § 2 lub 4,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5."
Art. 259b. Czynny żal przy przestępstwie przekroczenia granicy RP w celu popełnienia w innym państwie przestępstwa o charakterze terrorystycznym;"Na wniosek prokuratora sąd stosuje nadzwyczajne złagodzenie kary, a nawet może warunkowo zawiesić jej wykonanie w stosunku do sprawcy przestępstwa określonego w art. 259a przekroczenie granicy RP w celu popełnienia przestępstwa o charakterze terrorystycznym, który dobrowolnie odstąpił od:
1) popełnienia przestępstwa o charakterze terrorystycznym lub przestępstwa określonego w art. 255a rozpowszechnianie treści ułatwiających popełnienie przestępstwa o charakterze terrorystycznym lub art. 258 udział w zorganizowanej grupie lub związku przestępczym § 2 lub 4 i ujawnił przed organem powołanym do ścigania przestępstw wszystkie istotne okoliczności popełnienia czynu lub zapobiegł popełnieniu zamierzonego przestępstwa;
2) pomocnictwa innym osobom w popełnieniu przestępstwa określonego w art. 259a przekroczenie granicy RP w celu popełnienia przestępstwa o charakterze terrorystycznym i ujawnił przed organem powołanym do ścigania przestępstw wszystkie istotne okoliczności popełnienia czynu, w szczególności informacje o osobach, które popełniły przestępstwa określone w art. 259a przekroczenie granicy RP w celu popełnienia przestępstwa o charakterze terrorystycznym."
Art. 260. Udaremnianie przebiegu legalnego zgromadzenia lub jego rozpraszanie;"Kto przemocą lub groźbą bezprawną udaremnia przeprowadzenie odbywanego zgodnie z prawem zebrania, zgromadzenia lub pochodu albo takie zebranie, zgromadzenie lub pochód rozprasza,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2."
Art. 261. Znieważenie pomnika lub innego publicznie urządzonego miejsca;"Kto znieważa pomnik lub inne miejsce publiczne urządzone w celu upamiętnienia zdarzenia historycznego lub uczczenia osoby,
podlega grzywnie albo karze ograniczenia wolności."
Art. 262. Znieważenie zwłok, prochów ludzkich lub miejsca spoczynku zmarłego;"§ 1. Kto znieważa zwłoki, prochy ludzkie lub miejsce spoczynku zmarłego,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
§ 2. Kto ograbia zwłoki, grób lub inne miejsce spoczynku zmarłego,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8."
Art. 263. Wyrób, handel lub posiadanie broni palnej lub amunicji bez zezwolenia;"§ 1. Kto bez wymaganego zezwolenia wyrabia broń palną albo amunicję lub nią handluje,
podlega karze pozbawienia wolności od roku do lat 10.
§ 2. Kto bez wymaganego zezwolenia posiada broń palną lub amunicję,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 3. Kto, mając zezwolenie na posiadanie broni palnej lub amunicji, udostępnia lub przekazuje ją osobie nieuprawnionej,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
§ 4. Kto nieumyślnie powoduje utratę broni palnej lub amunicji, która zgodnie z prawem pozostaje w jego dyspozycji,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku."
Art. 264. Nielegalne przekroczenie granicy RP;"§ 1. (uchylony)
§ 2. Kto wbrew przepisom przekracza granicę Rzeczypospolitej Polskiej, używając przemocy, groźby, podstępu lub we współdziałaniu z innymi osobami,
podlega karze pozbawienia wolności do lat 3.
§ 3. Kto organizuje innym osobom przekraczanie wbrew przepisom granicy Rzeczypospolitej Polskiej,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 4. Karze określonej w § 3 podlega ten, kto organizuje innym osobom przekraczanie wbrew przepisom granicy innego państwa, jeżeli obowiązek ścigania takiego czynu wynika z ratyfikowanej przez Rzeczpospolitą Polską umowy międzynarodowej."
Art. 264a. Umożliwienie nielegalnego pobytu na terytorium RP;"§ 1. Kto, w celu osiągnięcia korzyści majątkowej lub osobistej, umożliwia lub ułatwia innej osobie pobyt na terytorium Rzeczypospolitej Polskiej wbrew przepisom,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. W wyjątkowych wypadkach, gdy sprawca nie osiągnął korzyści majątkowej, sąd może zastosować nadzwyczajne złagodzenie kary, a nawet odstąpić od jej wymierzenia."
Art. 265. Ujawnienie lub wykorzystanie informacji niejawnej o klauzuli „tajne” lub „ściśle tajne”;"§ 1. Kto ujawnia lub wbrew przepisom ustawy wykorzystuje informacje niejawne o klauzuli „tajne” lub „ściśle tajne”, podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. Jeżeli informację określoną w § 1 ujawniono osobie działającej w imieniu lub na rzecz podmiotu zagranicznego, sprawca
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 3. Kto nieumyślnie ujawnia informację określoną w § 1, z którą zapoznał się w związku z pełnieniem funkcji publicznej lub otrzymanym upoważnieniem,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku."
Art. 266. Ujawnienie lub wykorzystanie informacji uzyskanej w związku z wykonywaną funkcją lub czynnościami służbowymi;"§ 1. Kto, wbrew przepisom ustawy lub przyjętemu na siebie zobowiązaniu, ujawnia lub wykorzystuje informację, z którą zapoznał się w związku z pełnioną funkcją, wykonywaną pracą, działalnością publiczną, społeczną, gospodarczą lub naukową,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
§ 2. Funkcjonariusz publiczny, który ujawnia osobie nieuprawnionej informację niejawną o klauzuli „zastrzeżone” lub „poufne” lub informację, którą uzyskał w związku z wykonywaniem czynności służbowych, a której ujawnienie może narazić na szkodę prawnie chroniony interes, podlega karze pozbawienia wolności do lat 3.
§ 3. Ściganie przestępstwa określonego w § 1 następuje na wniosek pokrzywdzonego."
Art. 267. Bezprawne uzyskanie informacji;"§1. Kto bez uprawnienia uzyskuje dostęp do informacji dla niego nieprzeznaczonej, otwierając zamknięte pismo, podłączając się do sieci telekomunikacyjnej lub przełamując albo omijając elektroniczne, magnetyczne, informatyczne lub inne szczególne jej zabezpieczenie,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
§ 2. Tej samej karze podlega, kto bez uprawnienia uzyskuje dostęp do całości lub części systemu informatycznego.
§ 3. Tej samej karze podlega, kto w celu uzyskania informacji, do której nie jest uprawniony, zakłada lub posługuje się urządzeniem podsłuchowym, wizualnym albo innym urządzeniem lub oprogramowaniem.
§ 4. Tej samej karze podlega, kto informację uzyskaną w sposób określony w § 1-3 ujawnia innej osobie.
§ 5. Ściganie przestępstwa określonego w § 1-4 następuje na wniosek pokrzywdzonego."
Art. 268. Utrudnianie zapoznania się z informacją osobie uprawnionej;"§ 1. Kto, nie będąc do tego uprawnionym, niszczy, uszkadza, usuwa lub zmienia zapis istotnej informacji albo w inny sposób udaremnia lub znacznie utrudnia osobie uprawnionej zapoznanie się z nią,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
§ 2. Jeżeli czyn określony w § 1 dotyczy zapisu na informatycznym nośniku danych, sprawca
podlega karze pozbawienia wolności do lat 3.
§ 3. Kto, dopuszczając się czynu określonego w § 1 lub 2, wyrządza znaczną szkodę majątkową,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 4. Ściganie przestępstwa określonego w § 1-3 następuje na wniosek pokrzywdzonego."
Art. 268a. Niszczenie, uszkadzanie, usuwanie, zmienianie lub utrudnianie dostępu do danych informatycznych;"§ 1. Kto, nie będąc do tego uprawnionym, niszczy, uszkadza, usuwa, zmienia lub utrudnia dostęp do danych informatycznych albo w istotnym stopniu zakłóca lub uniemożliwia automatyczne przetwarzanie, gromadzenie lub przekazywanie takich danych,
podlega karze pozbawienia wolności do lat 3.
§ 2. Kto, dopuszczając się czynu określonego w § 1, wyrządza znaczną szkodę majątkową,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 3. Ściganie przestępstwa określonego w § 1 lub 2 następuje na wniosek pokrzywdzonego."
Art. 269. Niszczenie, uszkadzanie, usuwanie lub zmienianie danych informatycznych o szczególnym znaczeniu;"§ 1. Kto niszczy, uszkadza, usuwa lub zmienia dane informatyczne o szczególnym znaczeniu dla obronności kraju, bezpieczeństwa w komunikacji, funkcjonowania administracji rządowej, innego organu państwowego lub instytucji państwowej albo samorządu terytorialnego albo zakłóca lub uniemożliwia automatyczne przetwarzanie, gromadzenie lub przekazywanie takich danych,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 2. Tej samej karze podlega, kto dopuszcza się czynu określonego w § 1, niszcząc albo wymieniając informatyczny nośnik danych lub niszcząc albo uszkadzając urządzenie służące do automatycznego przetwarzania, gromadzenia lub przekazywania danych informatycznych."
Art. 269a. Zakłócanie pracy systemu informatycznego, teleinformatycznego lub sieci teleinformatycznej;"Kto, nie będąc do tego uprawnionym, przez transmisję, zniszczenie, usunięcie, uszkodzenie, utrudnienie dostępu lub zmianę danych informatycznych, w istotnym stopniu zakłóca pracę systemu informatycznego, systemu teleinformatycznego lub sieci teleinformatycznej,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5."
Art. 269b. Bezprawne wytwarzanie, pozyskiwanie, zbywanie lub udostępnianie programów komputerowych;"§ 1. Kto wytwarza, pozyskuje, zbywa lub udostępnia innym osobom urządzenia lub programy komputerowe przystosowane do popełnienia przestępstwa określonego w art. 165 sprowadzenie niebezpieczeństwa powszechnego § 1 pkt 4, art. 267 bezprawne uzyskanie informacji § 3, art. 268a niszczenie, uszkadzanie, usuwanie, zmienianie lub utrudnianie dostępu do danych informatycznych § 1 albo § 2 w związku z § 1, art. 269 niszczenie, uszkadzanie, usuwanie lub zmienianie danych informatycznych o szczególnym znaczeniu § 1 lub 2 , art. 269a zakłócanie pracy systemu informatycznego, teleinformatycznego lub sieci teleinformatycznej, art. 270 fałszowanie dokumentu i używanie go za autentyczny § 1 albo art. 270a fałszowanie faktury i używanie jej za autentyczną § 1, a także hasła komputerowe, kody dostępu lub inne dane umożliwiające nieuprawniony dostęp do informacji przechowywanych w systemie informatycznym, systemie teleinformatycznym lub sieci teleinformatycznej,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 1a. Nie popełnia przestępstwa określonego w § 1, kto działa wyłącznie w celu zabezpieczenia systemu informatycznego, systemu teleinformatycznego lub sieci teleinformatycznej przed popełnieniem przestępstwa wymienionego w tym przepisie albo opracowania metody takiego zabezpieczenia.
§ 2. W razie skazania za przestępstwo określone w § 1, sąd orzeka przepadek określonych w nim przedmiotów, a może orzec ich przepadek, jeżeli nie stanowiły własności sprawcy."
Art. 269c. Działania w celu wykrycia błędów w zabezpieczeniach systemów informatycznych];Nie podlega karze za przestępstwo określone w art. 267 bezprawne uzyskanie informacji § 2 lub art. 269a zakłócanie pracy systemu informatycznego, teleinformatycznego lub sieci teleinformatycznej, kto działa wyłącznie w celu zabezpieczenia systemu informatycznego, systemu teleinformatycznego lub sieci teleinformatycznej albo opracowania metody takiego zabezpieczenia i niezwłocznie powiadomił dysponenta tego systemu lub sieci o ujawnionych zagrożeniach, a jego działanie nie naruszyło interesu publicznego lub prywatnego i nie wyrządziło szkody.
Art. 270. Fałszowanie dokumentu i używanie go za autentyczny;"§ 1. Kto, w celu użycia za autentyczny, podrabia lub przerabia dokument lub takiego dokumentu jako autentycznego używa,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. Tej samej karze podlega, kto wypełnia blankiet, opatrzony cudzym podpisem, niezgodnie z wolą podpisanego i na jego szkodę albo takiego dokumentu używa.
§ 2a. W wypadku mniejszej wagi, sprawca podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
§ 3. Kto czyni przygotowania do przestępstwa określonego w § 1,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2."
Art. 270a. Fałszowanie faktury i używanie jej za autentyczną;"§ 1. Kto, w celu użycia za autentyczną, podrabia lub przerabia fakturę w zakresie okoliczności faktycznych mogących mieć znaczenie dla określenia wysokości należności publicznoprawnej lub jej zwrotu albo zwrotu innej należności o charakterze podatkowym lub takiej faktury jako autentycznej używa,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 2. Jeżeli sprawca dopuszcza się czynu określonego w § 1 wobec faktury lub faktur, zawierających kwotę należności ogółem, której wartość lub łączna wartość jest większa niż pięciokrotność kwoty określającej mienie wielkiej wartości, albo z popełnienia przestępstwa uczynił sobie stałe źródło dochodu,
podlega karze pozbawienia wolności od lat 3 do 20.
§ 3. W wypadku mniejszej wagi, sprawca czynu określonego w § 1 lub 2
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2."
Art. 271. Poświadczenie nieprawdy;"§ 1. Funkcjonariusz publiczny lub inna osoba uprawniona do wystawienia dokumentu, która poświadcza w nim nieprawdę co do okoliczności mającej znaczenie prawne,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
( Art. 271 poświadczenie nieprawdy § 1 ustawy - Kodeks karny oraz art. 92a uchylony ust. 1 ustawy o transporcie drogowym - w zakresie, w jakim dopuszczają stosowanie wobec tej samej osoby fizycznej, za ten sam czyn, który stanowi naruszenie obowiązków lub warunków przewozu drogowego opisane w lp. 3.9 załącznika nr 3 do ustawy o transporcie drogowym, odpowiedzialności za przestępstwo oraz kary pieniężnej - z dniem 24.06.2017 r. zostały uznane za niezgodne z zasadą ne bis in idem oraz zasadą proporcjonalnej reakcji państwa na naruszenie prawa wynikającymi z art. 2 odpowiedzialność za przestępstwo skutkowe popełnione przez zaniechanie Konstytucji Rzeczypospolitej Polskiej wyrokiem Trybunału Konstytucyjnego z 20.06.2017 r. sygn. akt. P 124/15 (Dz. U. z 2017 poz.1214)
§ 2. W wypadku mniejszej wagi, sprawca
podlega grzywnie albo karze ograniczenia wolności.
§ 3. Jeżeli sprawca dopuszcza się czynu określonego w § 1 w celu osiągnięcia korzyści majątkowej lub osobistej,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8."
Art. 271a. Podawanie nieprawdy w fakturze;"§ 1. Kto wystawia fakturę lub faktury, zawierające kwotę należności ogółem, której wartość lub łączna wartość jest znaczna, poświadczając nieprawdę co do okoliczności faktycznych mogących mieć znaczenie dla określenia wysokości należności publicznoprawnej lub jej zwrotu albo zwrotu innej należności o charakterze podatkowym lub takiej faktury lub faktur używa,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 2. Jeżeli sprawca dopuszcza się czynu określonego w § 1 wobec faktury lub faktur, zawierających kwotę należności ogółem, której wartość lub łączna wartość jest większa niż pięciokrotność kwoty określającej mienie wielkiej wartości, albo z popełnienia przestępstwa uczynił sobie stałe źródło dochodu,
podlega karze pozbawienia wolności od lat 3 do 20.
§ 3. W wypadku mniejszej wagi, sprawca czynu określonego w § 1 lub 2
podlega karze pozbawienia wolności do lat 3."
Art. 272. Podstępne wyłudzenie poświadczenia nieprawdy w dokumencie;"Kto wyłudza poświadczenie nieprawdy przez podstępne wprowadzenie w błąd funkcjonariusza publicznego lub innej osoby upoważnionej do wystawienia dokumentu,
podlega karze pozbawienia wolności do lat 3."
Art. 273. Używanie dokumentu poświadczającego nieprawdę;"Kto używa dokumentu określonego w art. 271 poświadczenie nieprawdy lub art. 272 podstępne wyłudzenie poświadczenia nieprawdy w dokumencie,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2."
Art. 274. Zbycie dokumentu tożsamości;"Kto zbywa własny lub cudzy dokument stwierdzający tożsamość,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2."
Art. 275. Posługiwanie się cudzym dokumentem tożsamości;"§ 1. Kto posługuje się dokumentem stwierdzającym tożsamość innej osoby albo jej prawa majątkowe lub dokument taki kradnie lub go przywłaszcza,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
§ 2. Tej samej karze podlega, kto bezprawnie przewozi, przenosi lub przesyła za granicę dokument stwierdzający tożsamość innej osoby albo jej prawa majątkowe."
Art. 276. Niszczenie lub ukrywanie dokumentu bez prawa do jego rozporządzaniem;"Kto niszczy, uszkadza, czyni bezużytecznym, ukrywa lub usuwa dokument, którym nie ma prawa wyłącznie rozporządzać,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2."
Art. 277. Niszczenie, przesuwanie lub usuwanie znaków granicznych;"Kto znaki graniczne niszczy, uszkadza, usuwa, przesuwa lub czyni niewidocznymi albo fałszywie wystawia,
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2."
Art. 277a. Fałszowanie faktury lub używanie sfałszowanej faktury z kwotą określającą mienie wielkiej wartości;"§ 1. Kto dopuszcza się przestępstwa określonego w art. 270a fałszowanie faktury i używanie jej za autentyczną § 1 albo art. 271a podawanie nieprawdy w fakturze § 1 wobec faktury lub faktur, zawierających kwotę należności ogółem, której wartość lub łączna wartość jest większa niż dziesięciokrotność kwoty określającej mienie wielkiej wartości,
podlega karze pozbawienia wolności od lat 5 do 25.
§ 2. W wypadku mniejszej wagi, sprawca czynu określonego w § 1
podlega karze pozbawienia wolności do lat 5."
Art. 277b. Wymiar grzywny w razie skazania za fałszowanie lub używanie sfałszowanych faktur;W razie skazania za przestępstwo określone w art. 270a fałszowanie faktury i używanie jej za autentyczną § 1 lub 2, art. 271a podawanie nieprawdy w fakturze § 1 lub 2 albo art. 277a fałszowanie faktury lub używanie sfałszowanej faktury z kwotą określającą mienie wielkiej wartości § 1, grzywnę orzeczoną obok kary pozbawienia wolności można wymierzyć w wysokości do 3000 stawek dziennych.
Art. 277c. Nadzwyczajne złagodzenie kary lub odstąpienie od wymierzenia kary wobec sprawcy przestępstwa fałszowania faktur lub ich używania za autentyczne;"§ 1. Sąd na wniosek prokuratora stosuje nadzwyczajne złagodzenie kary wobec sprawcy przestępstwa określonego w art. 270a fałszowanie faktury i używanie jej za autentyczną § 1 lub 2 lub art. 271a podawanie nieprawdy w fakturze § 1 lub 2, który zawiadomił o nim organ powołany do ścigania przestępstw i ujawnił wszystkie istotne okoliczności przestępstwa, a także wskazał czyny pozostające w związku z popełnionym przez niego przestępstwem i ich sprawców, zanim organ ten o nich się dowiedział.
§ 2. Sąd na wniosek prokuratora może odstąpić od wymierzenia kary wobec sprawcy przestępstwa określonego w art. 270a fałszowanie faktury i używanie jej za autentyczną § 1, 2 lub 3, art. 271a podawanie nieprawdy w fakturze § 1, 2 lub 3 lub art. 277a fałszowanie faktury lub używanie sfałszowanej faktury z kwotą określającą mienie wielkiej wartości § 2, który, oprócz spełnienia warunków określonych w § 1, zwrócił korzyść majątkową osiągniętą z popełnienia tego przestępstwa w całości albo w istotnej części.
§ 3. Sąd może zastosować nadzwyczajne złagodzenie kary wobec sprawcy przestępstwa określonego w art. 277a fałszowanie faktury lub używanie sfałszowanej faktury z kwotą określającą mienie wielkiej wartości § 1, który, oprócz spełnienia warunków określonych w § 1, zwrócił korzyść majątkową osiągniętą z popełnienia tego przestępstwa w całości albo w istotnej części."
Art. 277d. Czynny żal sprawcy przestępstwa fałszowania faktur lub ich używania za autentyczne;Przepisy art. 277c nadzwyczajne złagodzenie kary lub odstąpienie od wymierzenia kary wobec sprawcy przestępstwa fałszowania faktur lub ich używania za autentyczne § 1 i 3 stosuje się odpowiednio do sprawcy, który po wszczęciu postępowania ujawnił wobec organu powołanego do ścigania przestępstw wszystkie jemu znane, a nieznane dotychczas temu organowi istotne okoliczności przestępstwa, a także wskazał czyny pozostające w związku z popełnionym przez niego przestępstwem i ich sprawców.
Art. 278. Kradzież;"§ 1. Kto zabiera w celu przywłaszczenia cudzą rzecz ruchomą,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 1a. Tej samej karze podlega, kto zabiera w celu przywłaszczenia cudzą kartę uprawniającą do podjęcia pieniędzy z automatu bankowego.
§ 2. Tej samej karze podlega, kto bez zgody osoby uprawnionej uzyskuje cudzy program komputerowy w celu osiągnięcia korzyści majątkowej.
§ 3. W wypadku mniejszej wagi, sprawca czynu określonego w § 1, 1a lub 2
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
§ 3a. Kto dopuszcza się kradzieży szczególnie zuchwałej,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 4. Jeżeli kradzież popełniono na szkodę osoby najbliższej, ściganie następuje na wniosek pokrzywdzonego.
§ 5. Przepisy § 1, 3, 3a i 4 stosuje się odpowiednio do kradzieży energii."
Art. 278a. Uchylony;
Art. 279. Kradzież z włamaniem;"§ 1. Kto kradnie z włamaniem,
podlega karze pozbawienia wolności od roku do lat 10.
§ 2. Jeżeli kradzież z włamaniem popełniono na szkodę osoby najbliższej, ściganie następuje na wniosek pokrzywdzonego."
Art. 280. Rozbój;"§ 1. Kto kradnie, używając przemocy wobec osoby lub grożąc natychmiastowym jej użyciem albo doprowadzając człowieka do stanu nieprzytomności lub bezbronności,
podlega karze pozbawienia wolności od lat 2 do 15.
§ 2. Jeżeli sprawca rozboju posługuje się bronią palną, nożem lub innym podobnie niebezpiecznym przedmiotem lub środkiem obezwładniającym albo działa w inny sposób bezpośrednio zagrażający życiu lub wspólnie z inną osobą, która posługuje się taką bronią, przedmiotem, środkiem lub sposobem,
podlega karze pozbawienia wolności od lat 3 do 20."
Art. 281. Kradzież rozbójnicza;"Kto, w celu utrzymania się w posiadaniu zabranej rzeczy, bezpośrednio po dokonaniu kradzieży, używa przemocy wobec osoby lub grozi natychmiastowym jej użyciem albo doprowadza człowieka do stanu nieprzytomności lub bezbronności,
podlega karze pozbawienia wolności od roku do lat 10."
Art. 282. Wymuszenie rozbójnicze;"§ 1. Kto, w celu osiągnięcia korzyści majątkowej, przemocą, groźbą zamachu na życie lub zdrowie albo gwałtownego zamachu na mienie, doprowadza inną osobę do rozporządzenia mieniem własnym lub cudzym albo do zaprzestania lub ograniczenia działalności gospodarczej,
podlega karze pozbawienia wolności od roku do lat 10.
§ 2. Tej samej karze podlega, kto, w celu osiągnięcia korzyści majątkowej, groźbą rozgłoszenia dotyczącej innej osoby lub osoby dla niej najbliższej wiadomości uwłaczającej czci lub istotnie naruszającej prywatność lub zarzutu, który może poniżyć w opinii publicznej lub narazić na utratę zaufania potrzebnego dla danego stanowiska, zawodu lub rodzaju działalności, doprowadza inną osobę do rozporządzenia mieniem własnym lub cudzym albo do zaprzestania lub ograniczenia działalności gospodarczej."
Art. 283. Wypadek mniejszej wagi;"W wypadku mniejszej wagi, sprawca czynu określonego w art. 279 kradzież z włamaniem § 1, art. 280 rozbój § 1, art. 281 kradzież rozbójnicza lub art. 282 wymuszenie rozbójnicze,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5."
Art. 284. Przywłaszczenie;"§ 1. Kto przywłaszcza sobie cudzą rzecz ruchomą lub prawo majątkowe,
podlega karze pozbawienia wolności do lat 3.
§ 2. Kto przywłaszcza sobie powierzoną mu rzecz ruchomą,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 3. W wypadku mniejszej wagi lub przywłaszczenia rzeczy znalezionej, sprawca
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
§ 4. Jeżeli przywłaszczenie nastąpiło na szkodę osoby najbliższej, ściganie następuje na wniosek pokrzywdzonego."
Art. 285. Uruchomienie na cudzy rachunek impulsów telefonicznych;"§ 1. Kto, włączając się do urządzenia telekomunikacyjnego, uruchamia na cudzy rachunek impulsy telefoniczne,
podlega karze pozbawienia wolności do lat 3.
§ 2. Jeżeli czyn określony w § 1 popełniono na szkodę osoby najbliższej, ściganie następuje na wniosek pokrzywdzonego."
Art. 286. Oszustwo;"§ 1. Kto, w celu osiągnięcia korzyści majątkowej, doprowadza inną osobę do niekorzystnego rozporządzenia własnym lub cudzym mieniem za pomocą wprowadzenia jej w błąd albo wyzyskania błędu lub niezdolności do należytego pojmowania przedsiębranego działania,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 2. Tej samej karze podlega, kto żąda korzyści majątkowej w zamian za zwrot bezprawnie zabranej rzeczy.
§ 3. W wypadku mniejszej wagi, sprawca
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do lat 2.
§ 4. Jeżeli czyn określony w § 1-3 popełniono na szkodę osoby najbliższej, ściganie następuje na wniosek pokrzywdzonego."
Art. 287. Oszustwo komputerowe;"§ 1. Kto, w celu osiągnięcia korzyści majątkowej lub wyrządzenia innej osobie szkody, bez upoważnienia, wpływa na automatyczne przetwarzanie, gromadzenie lub przekazywanie danych informatycznych lub zmienia, usuwa albo wprowadza nowy zapis danych informatycznych,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. W wypadku mniejszej wagi, sprawca
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
§ 3. Jeżeli oszustwo popełniono na szkodę osoby najbliższej, ściganie następuje na wniosek pokrzywdzonego."
Art. 288. Zniszczenie cudzej rzeczy;"§ 1. Kto cudzą rzecz niszczy, uszkadza lub czyni niezdatną do użytku,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. W wypadku mniejszej wagi, sprawca
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku.
§ 3. Karze określonej w § 1 podlega także ten, kto przerywa lub uszkadza kabel podmorski albo narusza przepisy obowiązujące przy zakładaniu lub naprawie takiego kabla.
§ 4. Ściganie przestępstwa określonego w § 1 lub 2 następuje na wniosek pokrzywdzonego."
Art. 289. Zabór pojazdu mechanicznego w celu krótkotrwałego użycia;"§ 1. Kto zabiera w celu krótkotrwałego użycia cudzy pojazd mechaniczny,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. Jeżeli sprawca czynu określonego w § 1 pokonuje zabezpieczenie pojazdu przed jego użyciem przez osobę nieupoważnioną, pojazd stanowi mienie znacznej wartości albo sprawca następnie porzuca pojazd w stanie uszkodzonym lub w takich okolicznościach, że zachodzi niebezpieczeństwo utraty lub uszkodzenia pojazdu albo jego części lub zawartości,
podlega karze pozbawienia wolności od 6 miesięcy do lat 8.
§ 3. Jeżeli czyn określony w § 1 popełniono używając przemocy lub grożąc natychmiastowym jej użyciem albo doprowadzając człowieka do stanu nieprzytomności lub bezbronności, sprawca
podlega karze pozbawienia wolności od roku do lat 10.
§ 4. W wypadkach określonych w § 1-3 sąd może wymierzyć grzywnę obok kary pozbawienia wolności.
§ 5. Jeżeli czyn określony w § 1-3 popełniono na szkodę osoby najbliższej, ściganie następuje na wniosek pokrzywdzonego."
Art. 290. Kradzież drzewa z lasu;"§ 1. Kto w celu przywłaszczenia dopuszcza się wyrębu drzewa w lesie,
podlega odpowiedzialności jak za kradzież.
§ 2. W razie skazania za wyrąb drzewa albo za kradzież drzewa wyrąbanego lub powalonego, sąd orzeka na rzecz pokrzywdzonego nawiązkę w wysokości podwójnej wartości drzewa."
Art. 291. Paserstwo umyślne;"§ 1. Kto rzecz uzyskaną za pomocą czynu zabronionego nabywa lub pomaga do jej zbycia albo tę rzecz przyjmuje lub pomaga do jej ukrycia,
podlega karze pozbawienia wolności od 3 miesięcy do lat 5.
§ 2. W wypadku mniejszej wagi, sprawca
podlega grzywnie, karze ograniczenia wolności albo pozbawienia wolności do roku."
